Part ID,Layer,Rotation,X,Y
J1,TOP,90,869.173,310
BT1,TOP,90,261.654,501.26
U2,TOP,0,595.945,321.811
F1,TOP,-180,805.945,560
J3,TOP,0,291.417,118.071
D1,TOP,-90,965,562.48
D2,TOP,270,870,57.4803
D3,TOP,90,965,57.5197
J2,TOP,90,70,310
U1,TOP,90,507.874,560.138
R7,TOP,-90,365.945,313.709
R8,TOP,-90,310.945,313.709
R1,TOP,270,637.5,43.0394
R9,TOP,-90,572.5,43.0394
R10,TOP,-90,767.5,43.0394
R11,TOP,-90,507.5,43.0252
C1,TOP,-90,679.193,550.539
C2,TOP,90,390.945,551.209
R4,TOP,270,250.945,313.709
R5,TOP,270,195.945,313.709
R6,TOP,270,365.945,428.709
R3,TOP,270,637.839,153.378
R2,TOP,270,702.5,43.0394
C3,TOP,-90,702.5,153.039
C4,TOP,-90,572.839,153.378
C5,TOP,90,615,548.356
